feature_set,window_size,n_components,clipping_threshold,n_estimators,max_depth,min_samples_leaf,max_features,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,125,200,10.0,1,sqrt,7.026601380204146,0.8638439442057422,12.243454598088396,16.0713489400538
A,15,10,125,200,10.0,1,1.0,7.289220510490926,0.8649862046083008,11.127685310519713,15.91944250076486
A,15,10,125,200,10.0,5,sqrt,6.983804960649894,0.8638589480847848,12.267652968750378,16.06763605330613
A,15,10,125,200,10.0,5,1.0,7.260266815055466,0.8648778692391612,11.123472866701803,15.902939676618953
A,15,10,125,200,10.0,10,sqrt,7.005771007494968,0.8632741198912945,12.353814770138204,16.12886776842813
A,15,10,125,200,10.0,10,1.0,7.213117976848494,0.8649128869316962,11.1180261626014,15.878648568060235
A,15,10,125,200,,1,sqrt,6.632671352998064,0.8621361546013174,11.590982729043064,15.919122464837518
A,15,10,125,200,,1,1.0,7.313993857587053,0.8591285024531562,11.400457277933045,16.24236136943287
A,15,10,125,200,,5,sqrt,6.6229701886042305,0.8637357945233223,11.547113287902338,15.807848142743364
A,15,10,125,200,,5,1.0,7.322889702613473,0.8610163275678827,11.27194895805432,16.10911819453127
A,15,10,125,200,,10,sqrt,6.547531022371724,0.8639830503347742,11.639193307710032,15.81711912252984
A,15,10,125,200,,10,1.0,7.248028123050618,0.8624399191323023,11.196252009337009,15.997774553537967
A,15,10,130,50,5.0,1,sqrt,11.309600964292576,0.8448509404883783,14.954579983384994,18.553231773078235
A,15,10,130,50,5.0,1,1.0,8.579548150066534,0.8615303792568024,11.189460945880418,16.34578834181115
A,15,10,130,50,5.0,5,sqrt,11.452110074245658,0.8444845716141334,14.875475424732263,18.55677771064696
A,15,10,130,50,5.0,5,1.0,8.578710755870913,0.8615358873790173,11.189363157641788,16.343923582977972
A,15,10,130,50,5.0,10,sqrt,11.45449082128503,0.8440414616746764,14.702929455271084,18.45846161723036
A,15,10,130,50,5.0,10,1.0,8.578217404534152,0.8615480616311,11.189701475848434,16.342138700614434
A,15,10,130,50,10.0,1,sqrt,8.27203611694502,0.8629891608584753,11.32234075081626,16.12034594882781
A,15,10,130,50,10.0,1,1.0,8.575150480504252,0.8618575855691677,10.533096830995238,16.117408702894956
A,15,10,130,50,10.0,5,sqrt,8.2662329091313,0.8629895587018452,11.325090245582263,16.108542470328477
A,15,10,130,50,10.0,5,1.0,8.46605359695972,0.8617808600135278,10.53276910443962,16.091225936043763
A,15,10,130,50,10.0,10,sqrt,8.17200421637116,0.8620030345001964,11.473031498307328,16.176732727792835
A,15,10,130,50,10.0,10,1.0,8.449287496321528,0.862104822598625,10.52658430158984,16.059639730843696
A,15,10,130,50,,1,sqrt,7.87866600349076,0.8598417342907119,10.89696337905252,16.11101646417763
A,15,10,130,50,,1,1.0,8.84125555199358,0.8557394540248563,10.889766937397193,16.455418924519083
A,15,10,130,50,,5,sqrt,7.891162886027329,0.862458808107893,10.794198909798467,15.968837654987547
A,15,10,130,50,,5,1.0,8.645390779930418,0.8577172933790346,10.742488495392353,16.30183086885515
A,15,10,130,50,,10,sqrt,7.798045416856991,0.8624704538590169,10.877731656724256,15.936216914045684
A,15,10,130,50,,10,1.0,8.467592726189622,0.8593596643329029,10.637185354413786,16.16684164011296
A,15,10,130,100,5.0,1,sqrt,11.184268046159586,0.8462734232243694,14.911792036246869,18.509240354715317
A,15,10,130,100,5.0,1,1.0,8.593608773427814,0.8615721437329356,11.200802717668894,16.36291738168293
A,15,10,130,100,5.0,5,sqrt,11.237292766609926,0.8454242669234387,14.870909720376584,18.49686068731292
A,15,10,130,100,5.0,5,1.0,8.592414878642469,0.8615659978652014,11.19960747072304,16.360454026443822
A,15,10,130,100,5.0,10,sqrt,11.285810542497735,0.8458707414894329,14.69983608686152,18.399147276345975
A,15,10,130,100,5.0,10,1.0,8.591517582111328,0.8615566278428238,11.199740101519126,16.359427063841874
A,15,10,130,100,10.0,1,sqrt,8.144495419677067,0.8635400291858029,11.281199283923224,16.082978300656443
A,15,10,130,100,10.0,1,1.0,8.511394630645672,0.8622063058518574,10.529129167354323,16.089818048062714
A,15,10,130,100,10.0,5,sqrt,8.102456458574256,0.8638319896188997,11.274611117092745,16.046994465137264
A,15,10,130,100,10.0,5,1.0,8.450536878826165,0.8622084022208647,10.527401285883863,16.074162381610325
A,15,10,130,100,10.0,10,sqrt,8.05655218509561,0.862846081844949,11.385855599300784,16.100413946157254
A,15,10,130,100,10.0,10,1.0,8.424145386015226,0.8622527701524902,10.5309424905467,16.054917093407504
A,15,10,130,100,,1,sqrt,7.659672784204025,0.8612361362661453,10.828653575582988,15.989439160308322
A,15,10,130,100,,1,1.0,8.608254097332296,0.8559526377810747,10.873512619024902,16.39448443129602
A,15,10,130,100,,5,sqrt,7.728600349540311,0.8632221751125344,10.751348146066013,15.903060550568688
A,15,10,130,100,,5,1.0,8.535451909833665,0.8580457709040081,10.726628587049897,16.268611753033014
A,15,10,130,100,,10,sqrt,7.757930820410138,0.8630407710352663,10.85427679023964,15.9110243409096
A,15,10,130,100,,10,1.0,8.389948846728629,0.8596635926645737,10.638976668798918,16.15011246847224
A,15,10,130,200,5.0,1,sqrt,11.102586534584653,0.8467837162358324,15.003430034908607,18.546112916230495
A,15,10,130,200,5.0,1,1.0,8.644494830983088,0.8615615952314286,11.206667861467558,16.37188965699627
A,15,10,130,200,5.0,5,sqrt,11.175429862091216,0.8462991380661995,15.005345922160364,18.556706634345005
A,15,10,130,200,5.0,5,1.0,8.643710063841619,0.8615624077075468,11.205675380531066,16.369748022349572
A,15,10,130,200,5.0,10,sqrt,11.19233843768532,0.8466098091990046,14.90991362953624,18.50171088423395
A,15,10,130,200,5.0,10,1.0,8.64275007521386,0.8615695531600714,11.206012979422905,16.36868206221414
A,15,10,130,200,10.0,1,sqrt,8.160378877641833,0.8640061200043476,11.303923898911489,16.078837390278643
A,15,10,130,200,10.0,1,1.0,8.536734731652412,0.8624944308025319,10.526909644053037,16.09401830116524
