feature_set,window_size,n_components,clipping_threshold,kernel,C,epsilon,gamma,degree,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,120,linear,1.0,0.01,scale,2,5.205649914036284,0.8650042064943351,13.447550083009247,17.027840611730614
A,15,10,120,linear,1.0,0.01,scale,3,5.205649914036284,0.8650042064943351,13.447550083009247,17.027840611730614
A,15,10,120,linear,1.0,0.01,0.01,2,5.205649914036284,0.8650042064943351,13.447550083009247,17.027840611730614
A,15,10,120,linear,1.0,0.01,0.01,3,5.205649914036284,0.8650042064943351,13.447550083009247,17.027840611730614
A,15,10,120,linear,1.0,0.1,scale,2,5.207152009767464,0.864995168492103,13.446690364448244,17.027484595337864
A,15,10,120,linear,1.0,0.1,scale,3,5.207152009767464,0.864995168492103,13.446690364448244,17.027484595337864
A,15,10,120,linear,1.0,0.1,0.01,2,5.207152009767464,0.864995168492103,13.446690364448244,17.027484595337864
A,15,10,120,linear,1.0,0.1,0.01,3,5.207152009767464,0.864995168492103,13.446690364448244,17.027484595337864
A,15,10,120,linear,10.0,0.01,scale,2,5.205532713028584,0.8649990339111024,13.446979528021938,17.02761157335122
A,15,10,120,linear,10.0,0.01,scale,3,5.205532713028584,0.8649990339111024,13.446979528021938,17.02761157335122
A,15,10,120,linear,10.0,0.01,0.01,2,5.205532713028584,0.8649990339111024,13.446979528021938,17.02761157335122
A,15,10,120,linear,10.0,0.01,0.01,3,5.205532713028584,0.8649990339111024,13.446979528021938,17.02761157335122
A,15,10,120,linear,10.0,0.1,scale,2,5.207191881031234,0.8649937655509883,13.446014543687312,17.02710850950171
A,15,10,120,linear,10.0,0.1,scale,3,5.207191881031234,0.8649937655509883,13.446014543687312,17.02710850950171
A,15,10,120,linear,10.0,0.1,0.01,2,5.207191881031234,0.8649937655509883,13.446014543687312,17.02710850950171
