feature_set,window_size,n_components,clipping_threshold,kernel,C,epsilon,gamma,degree,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,115,rbf,0.1,0.01,scale,2,8.798890863817018,0.8510481304419852,12.64289159819781,17.184390776501168
B,15,10,115,rbf,0.1,0.01,scale,2,7.951957898308393,0.8569997193222538,11.728831008353671,16.389186233879176
