feature_set,window_size,n_components,clipping_threshold,baseline_estimation_method,n_baseline_knots,penalizer,l1_ratio,confidence_threshold,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,115,breslow,3,1.0,1.0,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,10,115,breslow,3,1.0,1.0,0.95,,,,
A,20,10,115,breslow,5,0.0,0.0,0.3,,,,
A,20,10,115,breslow,5,0.0,0.0,0.5,,,,
A,20,10,115,breslow,5,0.0,0.0,0.95,,,,
A,20,10,115,breslow,5,0.0,0.5,0.3,,,,
A,20,10,115,breslow,5,0.0,0.5,0.5,,,,
A,20,10,115,breslow,5,0.0,0.5,0.95,,,,
A,20,10,115,breslow,5,0.0,1.0,0.3,,,,
A,20,10,115,breslow,5,0.0,1.0,0.5,,,,
A,20,10,115,breslow,5,0.0,1.0,0.95,,,,
A,20,10,115,breslow,5,0.1,0.0,0.3,7193.563157368003,0.5462211446682973,36.716839341356106,49.775774993022694
A,20,10,115,breslow,5,0.1,0.0,0.5,7333.334544333225,0.5442927490943034,36.75749674720295,49.881796828340995
A,20,10,115,breslow,5,0.1,0.0,0.95,,,,
A,20,10,115,breslow,5,0.1,0.5,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,10,115,breslow,5,0.1,0.5,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,10,115,breslow,5,0.1,0.5,0.95,,,,
A,20,10,115,breslow,5,0.1,1.0,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,10,115,breslow,5,0.1,1.0,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,10,115,breslow,5,0.1,1.0,0.95,,,,
A,20,10,115,breslow,5,1.0,0.0,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,10,115,breslow,5,1.0,0.0,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,10,115,breslow,5,1.0,0.0,0.95,,,,
A,20,10,115,breslow,5,1.0,0.5,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,10,115,breslow,5,1.0,0.5,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,10,115,breslow,5,1.0,0.5,0.95,,,,
A,20,10,115,breslow,5,1.0,1.0,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,10,115,breslow,5,1.0,1.0,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,10,115,breslow,5,1.0,1.0,0.95,,,,
A,20,10,115,spline,3,0.0,0.0,0.3,,,,
A,20,10,115,spline,3,0.0,0.0,0.5,,,,
A,20,10,115,spline,3,0.0,0.0,0.95,,,,
A,20,10,115,spline,3,0.0,0.5,0.3,,,,
A,20,10,115,spline,3,0.0,0.5,0.5,,,,
A,20,10,115,spline,3,0.0,0.5,0.95,,,,
A,20,10,115,spline,3,0.0,1.0,0.3,,,,
A,20,10,115,spline,3,0.0,1.0,0.5,,,,
A,20,10,115,spline,3,0.0,1.0,0.95,,,,
A,20,10,115,spline,3,0.1,0.0,0.3,,,,
A,20,10,115,spline,3,0.1,0.0,0.5,,,,
A,20,10,115,spline,3,0.1,0.0,0.95,,,,
A,20,10,115,spline,3,0.1,0.5,0.3,,,,
A,20,10,115,spline,3,0.1,0.5,0.5,,,,
A,20,10,115,spline,3,0.1,0.5,0.95,,,,
A,20,10,115,spline,3,0.1,1.0,0.3,,,,
A,20,10,115,spline,3,0.1,1.0,0.5,,,,
A,20,10,115,spline,3,0.1,1.0,0.95,,,,
A,20,10,115,spline,3,1.0,0.0,0.3,,,,
A,20,10,115,spline,3,1.0,0.0,0.5,,,,
A,20,10,115,spline,3,1.0,0.0,0.95,,,,
A,20,10,115,spline,3,1.0,0.5,0.3,,,,
A,20,10,115,spline,3,1.0,0.5,0.5,,,,
A,20,10,115,spline,3,1.0,0.5,0.95,,,,
A,20,10,115,spline,3,1.0,1.0,0.3,,,,
A,20,10,115,spline,3,1.0,1.0,0.5,,,,
A,20,10,115,spline,3,1.0,1.0,0.95,,,,
A,20,10,115,spline,5,0.0,0.0,0.3,,,,
A,20,10,115,spline,5,0.0,0.0,0.5,,,,
A,20,10,115,spline,5,0.0,0.0,0.95,,,,
A,20,10,115,spline,5,0.0,0.5,0.3,,,,
A,20,10,115,spline,5,0.0,0.5,0.5,,,,
A,20,10,115,spline,5,0.0,0.5,0.95,,,,
A,20,10,115,spline,5,0.0,1.0,0.3,,,,
A,20,10,115,spline,5,0.0,1.0,0.5,,,,
A,20,10,115,spline,5,0.0,1.0,0.95,,,,
A,20,10,115,spline,5,0.1,0.0,0.3,,,,
A,20,10,115,spline,5,0.1,0.0,0.5,,,,
A,20,10,115,spline,5,0.1,0.0,0.95,,,,
A,20,10,115,spline,5,0.1,0.5,0.3,,,,
A,20,10,115,spline,5,0.1,0.5,0.5,,,,
A,20,10,115,spline,5,0.1,0.5,0.95,,,,
A,20,10,115,spline,5,0.1,1.0,0.3,,,,
A,20,10,115,spline,5,0.1,1.0,0.5,,,,
A,20,10,115,spline,5,0.1,1.0,0.95,,,,
A,20,10,115,spline,5,1.0,0.0,0.3,,,,
A,20,10,115,spline,5,1.0,0.0,0.5,,,,
A,20,10,115,spline,5,1.0,0.0,0.95,,,,
A,20,10,115,spline,5,1.0,0.5,0.3,,,,
A,20,10,115,spline,5,1.0,0.5,0.5,,,,
A,20,10,115,spline,5,1.0,0.5,0.95,,,,
A,20,10,115,spline,5,1.0,1.0,0.3,,,,
A,20,10,115,spline,5,1.0,1.0,0.5,,,,
A,20,10,115,spline,5,1.0,1.0,0.95,,,,
A,20,10,120,breslow,3,0.0,0.0,0.3,,,,
A,20,10,120,breslow,3,0.0,0.0,0.5,,,,
A,20,10,120,breslow,3,0.0,0.0,0.95,,,,
A,20,10,120,breslow,3,0.0,0.5,0.3,,,,
A,20,10,120,breslow,3,0.0,0.5,0.5,,,,
A,20,10,120,breslow,3,0.0,0.5,0.95,,,,
A,20,10,120,breslow,3,0.0,1.0,0.3,,,,
A,20,10,120,breslow,3,0.0,1.0,0.5,,,,
A,20,10,120,breslow,3,0.0,1.0,0.95,,,,
A,20,10,120,breslow,3,0.1,0.0,0.3,7193.130586913752,0.5447228566171923,34.545239454524335,49.461143499894156
A,20,10,120,breslow,3,0.1,0.0,0.5,7332.890040088091,0.5428786303483293,34.578331848550846,49.56404930228181
A,20,10,120,breslow,3,0.1,0.0,0.95,,,,
A,20,10,120,breslow,3,0.1,0.5,0.3,7230.480293796501,0.5445412032071906,34.55166518188418,49.474194062061066
