feature_set,window_size,n_components,clipping_threshold,distribution,method,tdf,confidence_threshold,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,115,gamma,em,3,0.3,3185.971637921223,0.5984708336061746,32.86690309908249,45.018036156369604
B,20,10,115,gamma,em,3,0.3,3034.507860805543,0.5996410960768818,32.68674789674107,44.796909377833245
