feature_set,window_size,n_components,clipping_threshold,confidence_threshold,penalizer,l1_ratio,fit_intercept,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,120,0.5,0.0,0.5,False,5192.754656296216,0.5,89.31124165410901,96.74242403503682
A,20,10,120,0.5,0.0,1.0,True,,,,
A,20,10,120,0.5,0.0,1.0,False,5192.754656296216,0.5,89.31124165410901,96.74242403503682
A,20,10,120,0.5,0.1,0.0,True,,,,
A,20,10,120,0.5,0.1,0.0,False,5269.42556398305,0.5,89.72750775219433,97.1334458403528
A,20,10,120,0.5,0.1,0.5,True,,,,
A,20,10,120,0.5,0.1,0.5,False,5212.577638040541,0.5,89.34158066984057,96.80670456373642
A,20,10,120,0.5,0.1,1.0,True,,,,
A,20,10,120,0.5,0.1,1.0,False,4985.185934270506,0.5,87.79787234042553,95.49973945727088
A,20,10,120,0.5,1.0,0.0,True,,,,
A,20,10,120,0.5,1.0,0.0,False,5212.577638040541,0.5,89.34158066984057,96.80670456373642
A,20,10,120,0.5,1.0,0.5,True,,,,
A,20,10,120,0.5,1.0,0.5,False,5212.577638040541,0.5,89.34158066984057,96.80670456373642
A,20,10,120,0.5,1.0,1.0,True,2429.7736121070866,0.668959927397903,27.916184745581187,41.391820024447696
A,20,10,120,0.5,1.0,1.0,False,4985.185934270506,0.5,87.79787234042553,95.49973945727088
A,20,10,120,0.95,0.0,0.0,True,,,,
A,20,10,120,0.95,0.0,0.0,False,,,,
A,20,10,120,0.95,0.0,0.5,True,,,,
A,20,10,120,0.95,0.0,0.5,False,,,,
A,20,10,120,0.95,0.0,1.0,True,,,,
A,20,10,120,0.95,0.0,1.0,False,,,,
A,20,10,120,0.95,0.1,0.0,True,,,,
A,20,10,120,0.95,0.1,0.0,False,,,,
A,20,10,120,0.95,0.1,0.5,True,,,,
A,20,10,120,0.95,0.1,0.5,False,,,,
A,20,10,120,0.95,0.1,1.0,True,,,,
A,20,10,120,0.95,0.1,1.0,False,,,,
A,20,10,120,0.95,1.0,0.0,True,,,,
A,20,10,120,0.95,1.0,0.0,False,,,,
A,20,10,120,0.95,1.0,0.5,True,,,,
A,20,10,120,0.95,1.0,0.5,False,,,,
A,20,10,120,0.95,1.0,1.0,True,,,,
A,20,10,120,0.95,1.0,1.0,False,,,,
A,20,10,125,0.3,0.0,0.0,True,,,,
A,20,10,125,0.3,0.0,0.0,False,7184.090023632818,0.5,91.39583394674644,99.34542507405573
A,20,10,125,0.3,0.0,0.5,True,,,,
A,20,10,125,0.3,0.0,0.5,False,7184.090023632818,0.5,91.39583394674644,99.34542507405573
A,20,10,125,0.3,0.0,1.0,True,,,,
A,20,10,125,0.3,0.0,1.0,False,7184.090023632818,0.5,91.39583394674644,99.34542507405573
A,20,10,125,0.3,0.1,0.0,True,,,,
A,20,10,125,0.3,0.1,0.0,False,7293.25804173066,0.5,91.8460983973522,99.76835840818164
A,20,10,125,0.3,0.1,0.5,True,,,,
A,20,10,125,0.3,0.1,0.5,False,7211.562029169401,0.5,91.43418368242077,99.418052337134
A,20,10,125,0.3,0.1,1.0,True,,,,
A,20,10,125,0.3,0.1,1.0,False,6884.777978924363,0.5,89.78652482269503,98.01682805294348
A,20,10,125,0.3,1.0,0.0,True,,,,
A,20,10,125,0.3,1.0,0.0,False,7211.562029169401,0.5,91.43418368242077,99.418052337134
A,20,10,125,0.3,1.0,0.5,True,,,,
A,20,10,125,0.3,1.0,0.5,False,7211.562029169401,0.5,91.43418368242077,99.418052337134
A,20,10,125,0.3,1.0,1.0,True,560.1141005052469,0.8154659430994227,43.8760915782081,53.45106217872064
A,20,10,125,0.3,1.0,1.0,False,6884.777978924363,0.5,89.78652482269503,98.01682805294348
A,20,10,125,0.5,0.0,0.0,True,,,,
A,20,10,125,0.5,0.0,0.0,False,7184.090023632818,0.5,91.39583394674644,99.34542507405573
A,20,10,125,0.5,0.0,0.5,True,,,,
A,20,10,125,0.5,0.0,0.5,False,7184.090023632818,0.5,91.39583394674644,99.34542507405573
A,20,10,125,0.5,0.0,1.0,True,,,,
A,20,10,125,0.5,0.0,1.0,False,7184.090023632818,0.5,91.39583394674644,99.34542507405573
A,20,10,125,0.5,0.1,0.0,True,,,,
A,20,10,125,0.5,0.1,0.0,False,7293.25804173066,0.5,91.8460983973522,99.76835840818164
A,20,10,125,0.5,0.1,0.5,True,,,,
A,20,10,125,0.5,0.1,0.5,False,7211.562029169401,0.5,91.43418368242077,99.418052337134
A,20,10,125,0.5,0.1,1.0,True,,,,
A,20,10,125,0.5,0.1,1.0,False,6884.777978924363,0.5,89.78652482269503,98.01682805294348
A,20,10,125,0.5,1.0,0.0,True,,,,
A,20,10,125,0.5,1.0,0.0,False,7211.562029169401,0.5,91.43418368242077,99.418052337134
A,20,10,125,0.5,1.0,0.5,True,,,,
A,20,10,125,0.5,1.0,0.5,False,7211.562029169401,0.5,91.43418368242077,99.418052337134
A,20,10,125,0.5,1.0,1.0,True,2429.4971868767425,0.6642881419649965,25.788931867817,41.26349339080662
A,20,10,125,0.5,1.0,1.0,False,6884.777978924363,0.5,89.78652482269503,98.01682805294348
A,20,10,125,0.95,0.0,0.0,True,,,,
A,20,10,125,0.95,0.0,0.0,False,,,,
A,20,10,125,0.95,0.0,0.5,True,,,,
A,20,10,125,0.95,0.0,0.5,False,,,,
A,20,10,125,0.95,0.0,1.0,True,,,,
A,20,10,125,0.95,0.0,1.0,False,,,,
A,20,10,125,0.95,0.1,0.0,True,,,,
A,20,10,125,0.95,0.1,0.0,False,,,,
A,20,10,125,0.95,0.1,0.5,True,,,,
A,20,10,125,0.95,0.1,0.5,False,,,,
A,20,10,125,0.95,0.1,1.0,True,,,,
A,20,10,125,0.95,0.1,1.0,False,,,,
A,20,10,125,0.95,1.0,0.0,True,,,,
A,20,10,125,0.95,1.0,0.0,False,,,,
A,20,10,125,0.95,1.0,0.5,True,,,,
A,20,10,125,0.95,1.0,0.5,False,,,,
A,20,10,125,0.95,1.0,1.0,True,,,,
A,20,10,125,0.95,1.0,1.0,False,,,,
A,20,15,115,0.3,0.0,0.0,True,,,,
A,20,15,115,0.3,0.0,0.0,False,3724.458511199092,0.5,86.82436528727023,93.84138799026562
A,20,15,115,0.3,0.0,0.5,True,,,,
A,20,15,115,0.3,0.0,0.5,False,3724.458511199092,0.5,86.82436528727023,93.84138799026562
A,20,15,115,0.3,0.0,1.0,True,,,,
A,20,15,115,0.3,0.0,1.0,False,3724.458511199092,0.5,86.82436528727023,93.84138799026562
A,20,15,115,0.3,0.1,0.0,True,,,,
A,20,15,115,0.3,0.1,0.0,False,3789.0012755652815,0.5,87.45124666434018,94.34087112116984
A,20,15,115,0.3,0.1,0.5,True,,,,
A,20,15,115,0.3,0.1,0.5,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,15,115,0.3,0.1,1.0,True,,,,
A,20,15,115,0.3,0.1,1.0,False,3594.495673331894,0.5,85.65957446808511,92.83220583243894
A,20,15,115,0.3,1.0,0.0,True,,,,
A,20,15,115,0.3,1.0,0.0,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,15,115,0.3,1.0,0.5,True,,,,
A,20,15,115,0.3,1.0,0.5,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,15,115,0.3,1.0,1.0,True,407.8600477673128,0.8220956848849484,41.84445678155235,51.24911164307771
A,20,15,115,0.3,1.0,1.0,False,,,,
A,20,15,115,0.5,0.0,0.0,True,,,,
A,20,15,115,0.5,0.0,0.0,False,3724.458511199092,0.5,86.82436528727023,93.84138799026562
A,20,15,115,0.5,0.0,0.5,True,,,,
A,20,15,115,0.5,0.0,0.5,False,3724.458511199092,0.5,86.82436528727023,93.84138799026562
A,20,15,115,0.5,0.0,1.0,True,,,,
A,20,15,115,0.5,0.0,1.0,False,3724.458511199092,0.5,86.82436528727023,93.84138799026562
A,20,15,115,0.5,0.1,0.0,True,,,,
A,20,15,115,0.5,0.1,0.0,False,3789.0012755652815,0.5,87.45124666434018,94.34087112116984
A,20,15,115,0.5,0.1,0.5,True,,,,
A,20,15,115,0.5,0.1,0.5,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,15,115,0.5,0.1,1.0,True,,,,
A,20,15,115,0.5,0.1,1.0,False,3594.495673331894,0.5,85.65957446808511,92.83220583243894
A,20,15,115,0.5,1.0,0.0,True,,,,
A,20,15,115,0.5,1.0,0.0,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,15,115,0.5,1.0,0.5,True,,,,
A,20,15,115,0.5,1.0,0.5,False,3750.100155118604,0.5,87.09291222508917,94.03913806342366
A,20,15,115,0.5,1.0,1.0,True,2056.418249557425,0.6791058258720085,30.968819083638305,41.826381688371995
A,20,15,115,0.5,1.0,1.0,False,,,,
A,20,15,115,0.95,0.0,0.0,True,,,,
A,20,15,115,0.95,0.0,0.0,False,,,,
A,20,15,115,0.95,0.0,0.5,True,,,,
A,20,15,115,0.95,0.0,0.5,False,,,,
A,20,15,115,0.95,0.0,1.0,True,,,,
A,20,15,115,0.95,0.0,1.0,False,,,,
A,20,15,115,0.95,0.1,0.0,True,,,,
A,20,15,115,0.95,0.1,0.0,False,,,,
A,20,15,115,0.95,0.1,0.5,True,,,,
A,20,15,115,0.95,0.1,0.5,False,,,,
