feature_set,window_size,n_components,clipping_threshold,distribution,method,tdf,confidence_threshold,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,115,gamma,em,3,0.3,3459.303873827671,0.573945420497129,33.6410078973122,45.98682094462563
A,20,10,115,gamma,em,3,0.5,3838.9942696402345,0.5695629798604782,34.097603572550284,46.56407752569093
A,20,10,115,gamma,em,3,0.95,4762.802952866951,0.5615684690999885,35.08156706691274,47.73909244001757
A,20,10,115,gamma,em,5,0.3,3459.303873827671,0.573945420497129,33.6410078973122,45.98682094462563
A,20,10,115,gamma,em,5,0.5,3980.889539282902,0.5683247169094151,34.218497090644846,46.72548666323469
A,20,10,115,gamma,em,5,0.95,4907.856573256666,0.5605412142970658,35.153369937753574,47.84574085535384
A,20,10,115,gamma,aic,3,0.3,3700.490892947454,0.5713386586284133,33.88698421903858,46.31133131935072
A,20,10,115,gamma,aic,3,0.5,4055.850557172248,0.5675295154737174,34.28982892603191,46.81973832775274
A,20,10,115,gamma,aic,3,0.95,4777.422683747997,0.5614502797701387,35.09200686214946,47.75386764623769
A,20,10,115,gamma,aic,5,0.3,3492.169760565892,0.5734813489129709,33.673801617358194,46.03015411408918
A,20,10,115,gamma,aic,5,0.5,3884.6195373148594,0.5692559895111371,34.126000656645985,46.605134774442654
A,20,10,115,gamma,aic,5,0.95,4777.422683747997,0.5614502797701387,35.09200686214946,47.75386764623769
A,20,10,115,gaussian,em,3,0.3,3464.560635265947,0.5734080262284007,33.70309357914307,46.05537258794109
A,20,10,115,gaussian,em,3,0.5,3869.3747349538858,0.5691663884689181,34.15756014467176,46.63131413700354
A,20,10,115,gaussian,em,3,0.95,4797.849234385983,0.5613295705196202,35.107931304383555,47.77600896224669
A,20,10,115,gaussian,em,5,0.3,3464.560635265947,0.5734080262284007,33.70309357914307,46.05537258794109
A,20,10,115,gaussian,em,5,0.5,4434.464110430062,0.562567953508529,34.7462278070521,47.4004546037497
A,20,10,115,gaussian,em,5,0.95,5162.546304969774,0.5570837690490499,35.41989238702804,48.209994730082336
A,20,10,115,gaussian,aic,3,0.3,3554.196431275735,0.5710259320420903,33.74944646911369,46.14851955201776
A,20,10,115,gaussian,aic,3,0.5,3954.925080559116,0.5667073683776566,34.20955671248312,46.734329569094925
A,20,10,115,gaussian,aic,3,0.95,4890.1188936879535,0.5587851358423113,35.15022174340699,47.87718775218566
A,20,10,115,gaussian,aic,5,0.3,3554.196431275735,0.5710259320420903,33.74944646911369,46.14851955201776
A,20,10,115,gaussian,aic,5,0.5,3954.925080559116,0.5667073683776566,34.20955671248312,46.734329569094925
A,20,10,115,gaussian,aic,5,0.95,4890.1188936879535,0.5587851358423113,35.15022174340699,47.87718775218566
A,20,10,115,t,em,3,0.3,3483.95605150021,0.5717286399882702,33.680251053449425,46.06125616670785
A,20,10,115,t,em,3,0.5,3913.549163065072,0.5672225452261281,34.14952056569826,46.65748699175372
A,20,10,115,t,em,3,0.95,4837.48063795781,0.5591521808123666,35.12348264789822,47.83908795642239
A,20,10,115,t,em,5,0.3,3516.876658803715,0.5714793559520343,33.696488208102984,46.08543299422091
A,20,10,115,t,em,5,0.5,3922.2719257178733,0.5670522788141353,34.17020398073076,46.681459968029586
A,20,10,115,t,em,5,0.95,4854.281393090614,0.5590239718159266,35.12707329379355,47.84746329695257
A,20,10,115,t,aic,3,0.3,3483.95605150021,0.5717286399882702,33.680251053449425,46.06125616670785
A,20,10,115,t,aic,3,0.5,3913.549163065072,0.5672225452261281,34.14952056569826,46.65748699175372
A,20,10,115,t,aic,3,0.95,4837.48063795781,0.5591521808123666,35.12348264789822,47.83908795642239
A,20,10,115,t,aic,5,0.3,3516.876658803715,0.5714793559520343,33.696488208102984,46.08543299422091
A,20,10,115,t,aic,5,0.5,3922.2719257178733,0.5670522788141353,34.17020398073076,46.681459968029586
A,20,10,115,t,aic,5,0.95,4854.281393090614,0.5590239718159266,35.12707329379355,47.84746329695257
A,20,10,120,gamma,em,3,0.3,3932.499229714386,0.5649189322095004,31.899924645242017,46.2672092746919
A,20,10,120,gamma,em,3,0.5,4187.178145975475,0.5624997106459363,32.2539766902634,46.680881181025356
A,20,10,120,gamma,em,3,0.95,5050.6626641847015,0.5557981428638766,33.106581210865464,47.71141606923745
A,20,10,120,gamma,em,5,0.3,3932.499229714386,0.5649189322095004,31.899924645242017,46.2672092746919
A,20,10,120,gamma,em,5,0.5,4187.178145975475,0.5624997106459363,32.2539766902634,46.680881181025356
A,20,10,120,gamma,em,5,0.95,5050.6626641847015,0.5557981428638766,33.106581210865464,47.71141606923745
A,20,10,120,gamma,aic,3,0.3,3630.478498361698,0.5678866416797846,31.672669039010607,45.93753552986804
A,20,10,120,gamma,aic,3,0.5,4017.139229116981,0.5639444349887992,32.103841114490635,46.48754327946253
A,20,10,120,gamma,aic,3,0.95,4928.802066208337,0.5566041021412865,33.010261547265905,47.59707899219684
A,20,10,120,gamma,aic,5,0.3,3630.478498361698,0.5678866416797846,31.672669039010607,45.93753552986804
A,20,10,120,gamma,aic,5,0.5,4017.139229116981,0.5639444349887992,32.103841114490635,46.48754327946253
A,20,10,120,gamma,aic,5,0.95,4928.802066208337,0.5566041021412865,33.010261547265905,47.59707899219684
A,20,10,120,gaussian,em,3,0.3,4160.159595371476,0.5627311133729863,32.26177366855458,46.69132402697049
A,20,10,120,gaussian,em,3,0.5,4434.019606184926,0.560512614423616,32.56706290839999,47.065566820926804
A,20,10,120,gaussian,em,3,0.95,5162.101800724638,0.5552197638566116,33.24072748837594,47.88087409688959
