feature_set,window_size,n_components,clipping_threshold,link_type,alpha,alpha_reg,l1_ratio,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,115,log,0.1,0.0,0.0,4.872525961710987,0.8719987033978192,13.680608140664411,17.464889592763896
B,15,10,115,log,0.1,0.0,0.0,4.703455351473805,0.8748098036254589,13.513117519055067,17.255865847650462
